account_id,account_name,segment,region,plan_tier,mrr,product_usage_score,payment_health_score,support_experience_score,customer_success_engagement_score,health_score,risk_level,main_risk_driver
acct_007,Olive Branch Cafe,SMB,Europe,Starter,0.0,3.2059523809523807,0.0,100.0,12,28.5,Critical,Low product adoption
acct_004,Copper Kettle BBQ,Mid-Market,North America,Pro,0.0,7.594047619047617,0.0,100.0,12,30.1,Critical,Low product adoption
acct_036,Atlas Bistro,Mid-Market,North America,Pro,4696.0,12.633333333333333,0.0,100.0,12,31.8,Critical,Payment failure
acct_096,Foundry Food Hall,Mid-Market,North America,Pro,5056.0,13.383333333333333,0.0,100.0,12,32.1,Critical,Payment failure
acct_086,Golden Restaurant Co,Mid-Market,Asia Pacific,Pro,3646.0,13.61547619047619,0.0,100.0,12,32.2,Critical,Payment failure
acct_066,Maple Cafe Group,Mid-Market,Asia Pacific,Pro,3526.0,13.633333333333333,0.0,100.0,12,32.2,Critical,Payment failure
acct_026,Bluebird Table,Mid-Market,Asia Pacific,Pro,5986.0,14.11547619047619,0.0,100.0,12,32.3,Critical,Payment failure
acct_056,Orchard Hospitality,Mid-Market,North America,Pro,4816.0,13.86547619047619,0.0,100.0,12,32.3,Critical,Payment failure
acct_076,Juniper Dining Collective,Mid-Market,North America,Pro,4936.0,15.097619047619048,0.0,100.0,12,32.7,Critical,Payment failure
acct_046,Amber Hospitality,Mid-Market,Asia Pacific,Pro,3406.0,15.347619047619048,0.0,100.0,12,32.8,Critical,Payment failure
acct_016,Canyon Kitchen,Mid-Market,North America,Pro,4576.0,15.597619047619048,0.0,100.0,12,32.9,Critical,Payment failure
acct_006,Metro Noodle House,Mid-Market,Asia Pacific,Pro,3900.0,18.444047619047616,0.0,100.0,22,35.9,Critical,Payment failure
acct_003,Green Fork Kitchen,SMB,Europe,Starter,1200.0,37.67857142857143,0.0,100.0,12,40.6,At Risk,Payment failure
acct_010,Luna Bakery Collective,SMB,Europe,Starter,1000.0,32.69047619047619,0.0,100.0,22,40.8,At Risk,Payment failure
acct_072,Clover Dining Collective,Mid-Market,North America,Pro,5992.0,31.185714285714283,100.0,100.0,12,58.3,At Risk,Low product adoption
acct_042,Golden Bistro,Mid-Market,Asia Pacific,Pro,4462.0,31.435714285714283,100.0,100.0,12,58.4,At Risk,Low product adoption
acct_099,Maple Food Hall,SMB,Europe,Starter,913.0,31.335714285714285,100.0,100.0,12,58.4,At Risk,Low product adoption
acct_039,Clover Bistro,SMB,Europe,Starter,1693.0,31.835714285714285,100.0,100.0,12,58.5,At Risk,Low product adoption
acct_069,Atlas Dining Collective,SMB,Latin America,Starter,1303.0,31.585714285714285,100.0,100.0,12,58.5,At Risk,Low product adoption
acct_029,Ember Table,SMB,Latin America,Starter,1223.0,32.067857142857136,100.0,100.0,12,58.6,At Risk,CSM risk note
acct_092,Bluebird Food Hall,Mid-Market,North America,Pro,3412.0,32.41785714285714,100.0,100.0,12,58.7,At Risk,CSM risk note
acct_062,Ember Cafe Group,Mid-Market,Asia Pacific,Pro,4582.0,32.66785714285714,100.0,100.0,12,58.8,At Risk,CSM risk note
acct_052,Foundry Hospitality,Mid-Market,North America,Pro,5872.0,32.9,100.0,100.0,12,58.9,At Risk,CSM risk note
acct_032,Juniper Table,Mid-Market,North America,Pro,5752.0,32.91785714285714,100.0,100.0,12,58.9,At Risk,CSM risk note
acct_089,Orchard Restaurant Co,SMB,Latin America,Starter,1343.0,32.817857142857136,100.0,100.0,12,58.9,At Risk,CSM risk note
acct_022,Maple Kitchen,Mid-Market,Asia Pacific,Pro,4342.0,33.15,100.0,100.0,12,59.0,At Risk,CSM risk note
acct_059,Bluebird Cafe Group,SMB,Europe,Starter,1733.0,33.067857142857136,100.0,100.0,12,59.0,At Risk,CSM risk note
acct_079,Amber Restaurant Co,SMB,Europe,Starter,873.0,33.05,100.0,100.0,12,59.0,At Risk,CSM risk note
acct_019,Foundry Kitchen,SMB,Europe,Starter,1653.0,33.55,100.0,100.0,12,59.1,At Risk,CSM risk note
acct_049,Canyon Hospitality,SMB,Latin America,Starter,1263.0,33.3,100.0,100.0,12,59.1,At Risk,CSM risk note
acct_082,Canyon Restaurant Co,Mid-Market,Asia Pacific,Pro,4702.0,33.9,100.0,100.0,12,59.3,At Risk,CSM risk note
acct_005,Sunrise Taqueria,SMB,Latin America,Starter,900.0,50.30119047619047,100.0,100.0,34,69.4,Watch,Healthy usage and engagement
acct_012,Pacific Poke Labs,Mid-Market,Asia Pacific,Pro,3600.0,62.47857142857143,100.0,100.0,34,73.7,Watch,Healthy usage and engagement
acct_075,Golden Dining Collective,Enterprise,Europe,Enterprise,17625.0,57.55,100.0,100.0,56,76.3,Watch,Healthy usage and engagement
acct_045,Orchard Bistro,Enterprise,Latin America,Enterprise,21915.0,57.8,100.0,100.0,56,76.4,Watch,Healthy usage and engagement
acct_018,Ember Kitchen,SMB,Asia Pacific,Starter,1516.0,57.65,100.0,100.0,56,76.4,Watch,Healthy usage and engagement
acct_015,Bluebird Kitchen,Enterprise,Europe,Enterprise,16305.0,58.05,100.0,100.0,56,76.5,Watch,Healthy usage and engagement
acct_081,Bluebird Restaurant Co,Mid-Market,Latin America,Pro,4291.0,58.0,100.0,100.0,56,76.5,Watch,Healthy usage and engagement
acct_051,Ember Hospitality,Mid-Market,Europe,Pro,5461.0,58.25,100.0,100.0,56,76.6,Watch,Healthy usage and engagement
acct_078,Orchard Dining Collective,SMB,Asia Pacific,Starter,1636.0,58.4,100.0,100.0,56,76.6,Watch,Healthy usage and engagement
acct_021,Juniper Kitchen,Mid-Market,Latin America,Pro,3931.0,58.5,100.0,100.0,56,76.7,Watch,Healthy usage and engagement
acct_068,Amber Dining Collective,SMB,North America,Starter,1166.0,58.63214285714285,100.0,100.0,56,76.7,Watch,Healthy usage and engagement
acct_048,Bluebird Hospitality,SMB,North America,Starter,1126.0,58.65,100.0,100.0,56,76.7,Watch,Healthy usage and engagement
acct_095,Ember Food Hall,Enterprise,Europe,Enterprise,18065.0,58.78214285714286,100.0,100.0,56,76.8,Watch,Healthy usage and engagement
acct_038,Canyon Bistro,SMB,Asia Pacific,Starter,1556.0,58.88214285714285,100.0,100.0,56,76.8,Watch,Healthy usage and engagement
acct_065,Juniper Cafe Group,Enterprise,Latin America,Enterprise,22355.0,59.03214285714286,100.0,100.0,56,76.9,Watch,Healthy usage and engagement
acct_035,Amber Bistro,Enterprise,Europe,Enterprise,16745.0,59.28214285714286,100.0,100.0,56,76.9,Watch,Healthy usage and engagement
acct_025,Atlas Table,Enterprise,Latin America,Enterprise,21475.0,59.51428571428571,100.0,100.0,56,77.0,Watch,Healthy usage and engagement
acct_071,Canyon Dining Collective,Mid-Market,Europe,Pro,5581.0,59.482142857142854,100.0,100.0,56,77.0,Watch,Healthy usage and engagement
acct_009,Beacon Burger Co,Mid-Market,North America,Pro,4700.0,72.02261904761906,100.0,100.0,34,77.0,Watch,Healthy usage and engagement
acct_061,Clover Cafe Group,Mid-Market,Latin America,Pro,4171.0,59.714285714285715,100.0,100.0,56,77.1,Watch,Healthy usage and engagement
acct_041,Foundry Bistro,Mid-Market,Latin America,Pro,4051.0,59.732142857142854,100.0,100.0,56,77.1,Watch,Healthy usage and engagement
