account_id,account_name,segment,region,plan_tier,mrr,health_score,weighted_pipeline_amount,open_pipeline_amount,next_close_date,close_month,customer_success_manager,expansion_readiness
acct_090,Amber Food Hall,Enterprise,Asia Pacific,Enterprise,20430.0,87.9,152660.0,224500,2025-10-13,2025-10-01,Riley Patel,Expansion Ready
acct_070,Bluebird Dining Collective,Enterprise,Asia Pacific,Enterprise,19990.0,88.5,149600.0,220000,2025-06-25,2025-06-01,Drew Martinez,Expansion Ready
acct_050,Clover Hospitality,Enterprise,Asia Pacific,Enterprise,19550.0,88.1,146200.0,215000,2025-08-04,2025-08-01,Riley Patel,Expansion Ready
acct_030,Foundry Table,Enterprise,Asia Pacific,Enterprise,19110.0,88.1,142800.0,210000,2025-09-13,2025-09-01,Drew Martinez,Expansion Ready
acct_011,Cedar Table Group,Enterprise,North America,Enterprise,16200.0,81.1,129200.00000000001,190000,2025-08-01,2025-08-01,Avery Morgan,Expansion Ready
acct_002,Harbor Sushi Group,Enterprise,North America,Enterprise,14200.0,86.8,118800.0,165000,2025-09-15,2025-09-01,Avery Morgan,Expansion Ready
acct_100,Orchard Food Hall,Enterprise,North America,Enterprise,15700.0,88.5,117300.00000000001,172500,2025-09-23,2025-09-01,Casey Nguyen,Expansion Ready
acct_080,Atlas Restaurant Co,Enterprise,North America,Enterprise,15260.0,88.5,114240.00000000001,168000,2025-11-02,2025-11-01,Jordan Ellis,Expansion Ready
acct_060,Canyon Cafe Group,Enterprise,North America,Enterprise,14820.0,88.0,110840.00000000001,163000,2025-07-15,2025-07-01,Casey Nguyen,Expansion Ready
acct_040,Ember Bistro,Enterprise,North America,Enterprise,14380.0,88.6,107440.00000000001,158000,2025-08-24,2025-08-01,Jordan Ellis,Expansion Ready
acct_020,Golden Kitchen,Enterprise,North America,Enterprise,13940.0,88.2,104380.00000000001,153500,2025-10-03,2025-10-01,Casey Nguyen,Expansion Ready
acct_008,Prime Plate Hospitality,Enterprise,North America,Enterprise,18500.0,86.8,70520.0,86000,2025-06-15,2025-06-01,Avery Morgan,Expansion Ready
acct_097,Golden Food Hall,Mid-Market,Latin America,Pro,5467.0,88.6,29580.000000000004,43500,2025-08-15,2025-08-01,Morgan Lee,Expansion Ready
acct_077,Maple Dining Collective,Mid-Market,Latin America,Pro,5347.0,88.2,29240.000000000004,43000,2025-09-24,2025-09-01,Avery Morgan,Expansion Ready
