cohort_month,month_number,cohort_size,retained_customers,retention_rate
2023-06-01,0,1,1,1.0
2023-06-01,1,1,1,1.0
2023-06-01,2,1,1,1.0
2023-06-01,3,1,1,1.0
2023-06-01,4,1,1,1.0
2023-06-01,5,1,1,1.0
2023-07-01,0,1,1,1.0
2023-07-01,1,1,1,1.0
2023-07-01,2,1,1,1.0
2023-07-01,3,1,1,1.0
2023-07-01,4,1,1,1.0
2023-07-01,5,1,1,1.0
2023-08-01,0,1,1,1.0
2023-08-01,1,1,1,1.0
2023-08-01,2,1,1,1.0
2023-08-01,3,1,1,1.0
2023-08-01,4,1,1,1.0
2023-08-01,5,1,1,1.0
2023-09-01,0,1,1,1.0
2023-09-01,1,1,1,1.0
2023-09-01,2,1,1,1.0
2023-09-01,3,1,1,1.0
2023-09-01,4,1,1,1.0
2023-09-01,5,1,1,1.0
2023-11-01,0,1,0,0.0
2023-11-01,1,1,0,0.0
2023-11-01,2,1,0,0.0
2023-11-01,3,1,0,0.0
2023-11-01,4,1,0,0.0
2023-11-01,5,1,0,0.0
2023-12-01,0,1,1,1.0
2023-12-01,1,1,1,1.0
2023-12-01,2,1,1,1.0
2023-12-01,3,1,1,1.0
2023-12-01,4,1,1,1.0
2023-12-01,5,1,1,1.0
2024-01-01,0,1,1,1.0
2024-01-01,1,1,1,1.0
2024-01-01,2,1,1,1.0
2024-01-01,3,1,1,1.0
2024-01-01,4,1,1,1.0
2024-01-01,5,1,1,1.0
2024-02-01,0,1,0,0.0
2024-02-01,1,1,0,0.0
2024-02-01,2,1,0,0.0
2024-02-01,3,1,0,0.0
2024-02-01,4,1,0,0.0
2024-02-01,5,1,0,0.0
2024-03-01,0,1,1,1.0
2024-03-01,1,1,1,1.0
2024-03-01,2,1,1,1.0
2024-03-01,3,1,1,1.0
2024-03-01,4,1,1,1.0
2024-03-01,5,1,1,1.0
2024-04-01,0,1,1,1.0
2024-04-01,1,1,1,1.0
2024-04-01,2,1,1,1.0
2024-04-01,3,1,1,1.0
2024-04-01,4,1,1,1.0
2024-04-01,5,1,1,1.0
2024-05-01,0,1,1,1.0
2024-05-01,1,1,1,1.0
2024-05-01,2,1,1,1.0
2024-05-01,3,1,1,1.0
2024-05-01,4,1,1,1.0
2024-05-01,5,1,1,1.0
2024-06-01,0,1,1,1.0
2024-06-01,1,1,1,1.0
2024-06-01,2,1,1,1.0
2024-06-01,3,1,1,1.0
2024-06-01,4,1,1,1.0
2024-06-01,5,1,1,1.0
