opportunity_id,account_id,opportunity_type,stage,amount,close_date,probability
opp_001,acct_001,upsell,Proposal,18000,2025-06-30,0.55
opp_002,acct_002,renewal,Negotiation,165000,2025-09-15,0.72
opp_003,acct_003,renewal,Discovery,12000,2025-07-31,0.35
opp_004,acct_005,cross_sell,Qualified,6400,2025-08-20,0.42
opp_005,acct_008,upsell,Commit,86000,2025-06-15,0.82
opp_006,acct_009,upsell,Proposal,22000,2025-07-12,0.61
opp_007,acct_011,renewal,Negotiation,190000,2025-08-01,0.68
opp_008,acct_012,cross_sell,Qualified,15000,2025-08-18,0.48
opp_009,acct_013,upsell,Proposal,8500,2025-07-04,0.68
opp_010,acct_014,cross_sell,Proposal,5000,2025-07-17,0.68
opp_011,acct_017,upsell,Proposal,40000,2025-08-25,0.68
opp_012,acct_018,cross_sell,Qualified,7500,2025-09-07,0.42
opp_013,acct_020,cross_sell,Proposal,153500,2025-10-03,0.68
opp_014,acct_023,upsell,Proposal,6500,2025-11-11,0.68
opp_015,acct_024,cross_sell,Proposal,7000,2025-06-27,0.68
opp_016,acct_027,upsell,Proposal,29500,2025-08-05,0.68
opp_017,acct_028,cross_sell,Qualified,5500,2025-08-18,0.42
opp_018,acct_030,cross_sell,Proposal,210000,2025-09-13,0.68
opp_019,acct_033,upsell,Proposal,4500,2025-10-22,0.68
opp_020,acct_034,cross_sell,Proposal,5000,2025-11-04,0.68
opp_021,acct_037,upsell,Proposal,41000,2025-07-16,0.68
opp_022,acct_038,cross_sell,Qualified,8000,2025-07-29,0.42
opp_023,acct_040,cross_sell,Proposal,158000,2025-08-24,0.68
opp_024,acct_043,upsell,Proposal,6500,2025-10-02,0.68
opp_025,acct_044,cross_sell,Proposal,7500,2025-10-15,0.68
opp_026,acct_047,upsell,Proposal,30500,2025-06-26,0.68
opp_027,acct_048,cross_sell,Qualified,5500,2025-07-09,0.42
opp_028,acct_050,cross_sell,Proposal,215000,2025-08-04,0.68
opp_029,acct_053,upsell,Proposal,4500,2025-09-12,0.68
opp_030,acct_054,cross_sell,Proposal,5000,2025-09-25,0.68
opp_031,acct_057,upsell,Proposal,42000,2025-11-03,0.68
opp_032,acct_058,cross_sell,Qualified,8000,2025-06-19,0.42
opp_033,acct_060,cross_sell,Proposal,163000,2025-07-15,0.68
opp_034,acct_063,upsell,Proposal,7000,2025-08-23,0.68
opp_035,acct_064,cross_sell,Proposal,7500,2025-09-05,0.68
opp_036,acct_067,upsell,Proposal,31500,2025-10-14,0.68
opp_037,acct_068,cross_sell,Qualified,6000,2025-10-27,0.42
opp_038,acct_070,cross_sell,Proposal,220000,2025-06-25,0.68
opp_039,acct_073,upsell,Proposal,5000,2025-08-03,0.68
opp_040,acct_074,cross_sell,Proposal,5500,2025-08-16,0.68
opp_041,acct_077,upsell,Proposal,43000,2025-09-24,0.68
opp_042,acct_078,cross_sell,Qualified,8000,2025-10-07,0.42
opp_043,acct_080,cross_sell,Proposal,168000,2025-11-02,0.68
opp_044,acct_083,upsell,Proposal,7000,2025-07-14,0.68
opp_045,acct_084,cross_sell,Proposal,8000,2025-07-27,0.68
opp_046,acct_087,upsell,Proposal,32500,2025-09-04,0.68
opp_047,acct_088,cross_sell,Qualified,6000,2025-09-17,0.42
opp_048,acct_090,cross_sell,Proposal,224500,2025-10-13,0.68
opp_049,acct_093,upsell,Proposal,5000,2025-06-24,0.68
opp_050,acct_094,cross_sell,Proposal,5500,2025-07-07,0.68
opp_051,acct_097,upsell,Proposal,43500,2025-08-15,0.68
opp_052,acct_098,cross_sell,Qualified,8500,2025-08-28,0.42
opp_053,acct_100,cross_sell,Proposal,172500,2025-09-23,0.68
