usage_id,account_id,usage_month,active_days,orders_processed,staff_logins,features_used_count,last_login_date
use_001,acct_001,2025-03-01,22,3840,118,8,2025-03-29
use_002,acct_001,2025-04-01,24,4210,132,9,2025-04-29
use_003,acct_002,2025-03-01,27,18800,410,12,2025-03-30
use_004,acct_002,2025-04-01,28,19350,436,13,2025-04-30
use_005,acct_003,2025-03-01,14,980,44,5,2025-03-24
use_006,acct_003,2025-04-01,11,760,31,4,2025-04-18
use_007,acct_004,2025-03-01,5,340,12,2,2025-03-12
use_008,acct_004,2025-04-01,0,0,0,0,
use_009,acct_005,2025-03-01,16,1320,51,5,2025-03-28
use_010,acct_005,2025-04-01,18,1500,58,6,2025-04-25
use_011,acct_006,2025-03-01,8,620,20,3,2025-03-17
use_012,acct_006,2025-04-01,4,280,9,2,2025-04-10
use_013,acct_007,2025-03-01,2,120,4,1,2025-03-05
use_014,acct_007,2025-04-01,0,0,0,0,
use_015,acct_008,2025-03-01,29,24600,620,14,2025-03-31
use_016,acct_008,2025-04-01,30,25250,644,14,2025-04-30
use_017,acct_009,2025-03-01,21,3940,105,8,2025-03-27
use_018,acct_009,2025-04-01,23,4300,117,9,2025-04-29
use_019,acct_010,2025-03-01,12,720,30,4,2025-03-22
use_020,acct_010,2025-04-01,10,640,25,4,2025-04-21
use_021,acct_011,2025-03-01,23,16600,355,10,2025-03-29
use_022,acct_011,2025-04-01,21,15300,312,9,2025-04-27
use_023,acct_012,2025-03-01,19,2760,82,7,2025-03-26
use_024,acct_012,2025-04-01,20,2990,89,8,2025-04-28
use_025,acct_013,2025-03-01,25,1964,144,11,2025-03-26
use_026,acct_013,2025-04-01,26,2136,130,10,2025-04-27
use_027,acct_014,2025-03-01,26,2092,151,10,2025-03-27
use_028,acct_014,2025-04-01,24,2039,137,11,2025-04-25
use_029,acct_015,2025-03-01,17,12435,75,8,2025-03-18
use_030,acct_015,2025-04-01,18,13252,86,7,2025-04-19
use_031,acct_016,2025-03-01,4,1288,10,2,2025-03-05
use_032,acct_016,2025-04-01,5,1645,21,3,2025-04-06
use_033,acct_017,2025-03-01,26,7061,147,11,2025-03-27
use_034,acct_017,2025-04-01,24,6638,133,10,2025-04-25
use_035,acct_018,2025-03-01,17,1629,71,7,2025-03-18
use_036,acct_018,2025-04-01,18,1801,82,8,2025-04-19
use_037,acct_019,2025-03-01,10,1157,30,5,2025-03-11
use_038,acct_019,2025-04-01,11,1329,41,4,2025-04-12
use_039,acct_020,2025-03-01,26,19180,143,10,2025-03-27
use_040,acct_020,2025-04-01,24,17837,129,11,2025-04-25
use_041,acct_021,2025-03-01,17,4933,92,8,2025-03-18
use_042,acct_021,2025-04-01,18,4690,78,7,2025-04-19
use_043,acct_022,2025-03-01,10,3166,26,4,2025-03-11
use_044,acct_022,2025-04-01,11,2923,37,5,2025-04-12
use_045,acct_023,2025-03-01,26,1969,139,11,2025-03-27
use_046,acct_023,2025-04-01,24,1916,150,10,2025-04-25
use_047,acct_024,2025-03-01,24,1872,146,10,2025-03-25
