subscription_id,account_id,plan_tier,mrr,start_date,end_date,status
sub_001,acct_001,Pro,4200,2024-01-12,,active
sub_002,acct_002,Enterprise,14200,2023-09-04,,active
sub_003,acct_003,Starter,1200,2024-03-18,,active
sub_004,acct_004,Pro,5100,2023-11-21,2025-03-31,churned
sub_005,acct_005,Starter,900,2024-05-07,,active
sub_006,acct_006,Pro,3900,2023-08-15,,paused
sub_007,acct_007,Starter,1100,2024-02-02,2025-01-31,churned
sub_008,acct_008,Enterprise,18500,2023-06-29,,active
sub_009,acct_009,Pro,4700,2024-04-10,,active
sub_010,acct_010,Starter,1000,2023-12-05,,trial
sub_011,acct_011,Enterprise,16200,2023-07-17,,active
sub_012,acct_012,Pro,3600,2024-06-03,,active
sub_013,acct_013,Starter,1731,2023-12-16,,active
sub_014,acct_014,Starter,968,2024-01-26,,active
sub_015,acct_015,Enterprise,16305,2024-03-07,,active
sub_016,acct_016,Pro,4576,2024-04-17,,active
sub_017,acct_017,Pro,4987,2024-05-28,,active
sub_018,acct_018,Starter,1516,2024-07-08,,active
sub_019,acct_019,Starter,1653,2024-08-18,,active
sub_020,acct_020,Enterprise,13940,2024-09-28,,active
sub_021,acct_021,Pro,3931,2022-07-12,,active
sub_022,acct_022,Pro,4342,2022-08-22,,active
sub_023,acct_023,Starter,1301,2022-10-02,,active
sub_024,acct_024,Starter,1438,2022-11-12,,active
sub_025,acct_025,Enterprise,21475,2022-12-23,,active
sub_026,acct_026,Pro,5986,2023-02-02,,active
sub_027,acct_027,Pro,3697,2023-03-15,,active
sub_028,acct_028,Starter,1086,2023-04-25,,active
sub_029,acct_029,Starter,1223,2023-06-05,,active
sub_030,acct_030,Enterprise,19110,2023-07-16,,active
sub_031,acct_031,Pro,5341,2023-08-26,,active
sub_032,acct_032,Pro,5752,2023-10-06,,active
sub_033,acct_033,Starter,871,2023-11-16,,active
sub_034,acct_034,Starter,1008,2023-12-27,,active
sub_035,acct_035,Enterprise,16745,2024-02-06,,active
sub_036,acct_036,Pro,4696,2024-03-18,,active
sub_037,acct_037,Pro,5107,2024-04-28,,active
sub_038,acct_038,Starter,1556,2024-06-08,,active
sub_039,acct_039,Starter,1693,2024-07-19,,active
sub_040,acct_040,Enterprise,14380,2024-08-29,,active
sub_041,acct_041,Pro,4051,2024-10-09,,active
sub_042,acct_042,Pro,4462,2022-07-23,,active
sub_043,acct_043,Starter,1341,2022-09-02,,active
sub_044,acct_044,Starter,1478,2022-10-13,,active
sub_045,acct_045,Enterprise,21915,2022-11-23,,active
sub_046,acct_046,Pro,3406,2023-01-03,,active
sub_047,acct_047,Pro,3817,2023-02-13,,active
sub_048,acct_048,Starter,1126,2023-03-26,,active
sub_049,acct_049,Starter,1263,2023-05-06,,active
sub_050,acct_050,Enterprise,19550,2023-06-16,,active
sub_051,acct_051,Pro,5461,2023-07-27,,paused
sub_052,acct_052,Pro,5872,2023-09-06,,active
sub_053,acct_053,Starter,911,2023-10-17,,active
sub_054,acct_054,Starter,1048,2023-11-27,,active
sub_055,acct_055,Enterprise,17185,2024-01-07,,active
sub_056,acct_056,Pro,4816,2024-02-17,,active
sub_057,acct_057,Pro,5227,2024-03-29,,active
sub_058,acct_058,Starter,1596,2024-05-09,,trial
sub_059,acct_059,Starter,1733,2024-06-19,,active
sub_060,acct_060,Enterprise,14820,2024-07-30,,active
sub_061,acct_061,Pro,4171,2024-09-09,,active
sub_062,acct_062,Pro,4582,2024-10-20,,active
sub_063,acct_063,Starter,1381,2022-08-03,,active
sub_064,acct_064,Starter,1518,2022-09-13,,active
sub_065,acct_065,Enterprise,22355,2022-10-24,,active
sub_066,acct_066,Pro,3526,2022-12-04,,active
sub_067,acct_067,Pro,3937,2023-01-14,,active
sub_068,acct_068,Starter,1166,2023-02-24,,paused
sub_069,acct_069,Starter,1303,2023-04-06,,active
sub_070,acct_070,Enterprise,19990,2023-05-17,,active
sub_071,acct_071,Pro,5581,2023-06-27,,active
sub_072,acct_072,Pro,5992,2023-08-07,,active
sub_073,acct_073,Starter,951,2023-09-17,,active
sub_074,acct_074,Starter,1088,2023-10-28,,active
sub_075,acct_075,Enterprise,17625,2023-12-08,,active
sub_076,acct_076,Pro,4936,2024-01-18,,active
sub_077,acct_077,Pro,5347,2024-02-28,,active
sub_078,acct_078,Starter,1636,2024-04-09,,active
sub_079,acct_079,Starter,873,2024-05-20,,active
sub_080,acct_080,Enterprise,15260,2024-06-30,,active
sub_081,acct_081,Pro,4291,2024-08-10,,active
sub_082,acct_082,Pro,4702,2024-09-20,,active
sub_083,acct_083,Starter,1421,2022-07-04,,active
sub_084,acct_084,Starter,1558,2022-08-14,,active
sub_085,acct_085,Enterprise,22795,2022-09-24,,paused
sub_086,acct_086,Pro,3646,2022-11-04,,active
sub_087,acct_087,Pro,4057,2022-12-15,,active
sub_088,acct_088,Starter,1206,2023-01-25,,active
sub_089,acct_089,Starter,1343,2023-03-07,,active
sub_090,acct_090,Enterprise,20430,2023-04-17,,active
sub_091,acct_091,Pro,5701,2023-05-28,,active
sub_092,acct_092,Pro,3412,2023-07-08,,active
sub_093,acct_093,Starter,991,2023-08-18,,active
sub_094,acct_094,Starter,1128,2023-09-28,,active
sub_095,acct_095,Enterprise,18065,2023-11-08,,active
sub_096,acct_096,Pro,5056,2023-12-19,,active
sub_097,acct_097,Pro,5467,2024-01-29,,active
sub_098,acct_098,Starter,1676,2024-03-10,,active
sub_099,acct_099,Starter,913,2024-04-20,,active
sub_100,acct_100,Enterprise,15700,2024-05-31,,active
