Account_Id__c,Account_Name__c,Segment__c,Region__c,Plan_Tier__c,MRR__c,Health_Score__c,Weighted_Pipeline_Amount__c,Open_Pipeline_Amount__c,Next_Close_Date__c,Expansion_Readiness__c
acct_011,Cedar Table Group,Enterprise,North America,Enterprise,16200.0,81.1,129200.00000000001,190000,2025-08-01,Expansion Ready
acct_002,Harbor Sushi Group,Enterprise,North America,Enterprise,14200.0,86.8,118800.0,165000,2025-09-15,Expansion Ready
acct_008,Prime Plate Hospitality,Enterprise,North America,Enterprise,18500.0,86.8,70520.0,86000,2025-06-15,Expansion Ready
acct_009,Beacon Burger Co,Mid-Market,North America,Pro,4700.0,77.0,13420.0,22000,2025-07-12,Nurture
acct_001,Northstar Bistro,Mid-Market,North America,Pro,4200.0,78.2,9900.0,18000,2025-06-30,Nurture
acct_012,Pacific Poke Labs,Mid-Market,Asia Pacific,Pro,3600.0,73.7,7200.0,15000,2025-08-18,Nurture
acct_003,Green Fork Kitchen,SMB,Europe,Starter,1200.0,40.6,4200.0,12000,2025-07-31,Not Ready
acct_005,Sunrise Taqueria,SMB,Latin America,Starter,900.0,69.4,2688.0,6400,2025-08-20,Not Ready
acct_010,Luna Bakery Collective,SMB,Europe,Starter,1000.0,40.8,0.0,0,,Not Ready
acct_006,Metro Noodle House,Mid-Market,Asia Pacific,Pro,3900.0,35.9,0.0,0,,Not Ready
