Cohort_Month__c,Cohort_Quarter__c,Month_Number__c,Month_Since_Acquisition__c,Cohort_Size__c,Retained_Customers__c,Retention_Rate__c
2022-07-01,2022 Q3,0,Month 00,3,3.0,1.0
2022-07-01,2022 Q3,1,Month 01,3,3.0,1.0
2022-07-01,2022 Q3,2,Month 02,3,3.0,1.0
2022-07-01,2022 Q3,3,Month 03,3,3.0,1.0
2022-07-01,2022 Q3,4,Month 04,3,3.0,1.0
2022-07-01,2022 Q3,5,Month 05,3,3.0,1.0
2022-08-01,2022 Q3,0,Month 00,3,3.0,1.0
2022-08-01,2022 Q3,1,Month 01,3,3.0,1.0
2022-08-01,2022 Q3,2,Month 02,3,3.0,1.0
2022-08-01,2022 Q3,3,Month 03,3,3.0,1.0
2022-08-01,2022 Q3,4,Month 04,3,3.0,1.0
2022-08-01,2022 Q3,5,Month 05,3,3.0,1.0
2022-09-01,2022 Q3,0,Month 00,3,3.0,1.0
2022-09-01,2022 Q3,1,Month 01,3,3.0,1.0
2022-09-01,2022 Q3,2,Month 02,3,3.0,1.0
2022-09-01,2022 Q3,3,Month 03,3,3.0,1.0
2022-09-01,2022 Q3,4,Month 04,3,3.0,1.0
2022-09-01,2022 Q3,5,Month 05,3,3.0,1.0
2022-10-01,2022 Q4,0,Month 00,3,3.0,1.0
2022-10-01,2022 Q4,1,Month 01,3,3.0,1.0
2022-10-01,2022 Q4,2,Month 02,3,3.0,1.0
2022-10-01,2022 Q4,3,Month 03,3,3.0,1.0
2022-10-01,2022 Q4,4,Month 04,3,3.0,1.0
2022-10-01,2022 Q4,5,Month 05,3,3.0,1.0
2022-11-01,2022 Q4,0,Month 00,3,3.0,1.0
2022-11-01,2022 Q4,1,Month 01,3,3.0,1.0
2022-11-01,2022 Q4,2,Month 02,3,3.0,1.0
2022-11-01,2022 Q4,3,Month 03,3,3.0,1.0
2022-11-01,2022 Q4,4,Month 04,3,3.0,1.0
2022-11-01,2022 Q4,5,Month 05,3,3.0,1.0
2022-12-01,2022 Q4,0,Month 00,3,3.0,1.0
2022-12-01,2022 Q4,1,Month 01,3,3.0,1.0
2022-12-01,2022 Q4,2,Month 02,3,3.0,1.0
2022-12-01,2022 Q4,3,Month 03,3,3.0,1.0
2022-12-01,2022 Q4,4,Month 04,3,3.0,1.0
2022-12-01,2022 Q4,5,Month 05,3,3.0,1.0
2023-01-01,2023 Q1,0,Month 00,3,3.0,1.0
2023-01-01,2023 Q1,1,Month 01,3,3.0,1.0
2023-01-01,2023 Q1,2,Month 02,3,3.0,1.0
2023-01-01,2023 Q1,3,Month 03,3,3.0,1.0
2023-01-01,2023 Q1,4,Month 04,3,3.0,1.0
2023-01-01,2023 Q1,5,Month 05,3,3.0,1.0
2023-02-01,2023 Q1,0,Month 00,3,3.0,1.0
2023-02-01,2023 Q1,1,Month 01,3,3.0,1.0
2023-02-01,2023 Q1,2,Month 02,3,3.0,1.0
2023-02-01,2023 Q1,3,Month 03,3,3.0,1.0
2023-02-01,2023 Q1,4,Month 04,3,3.0,1.0
2023-02-01,2023 Q1,5,Month 05,3,3.0,1.0
2023-03-01,2023 Q1,0,Month 00,3,3.0,1.0
2023-03-01,2023 Q1,1,Month 01,3,3.0,1.0
2023-03-01,2023 Q1,2,Month 02,3,3.0,1.0
2023-03-01,2023 Q1,3,Month 03,3,3.0,1.0
2023-03-01,2023 Q1,4,Month 04,3,3.0,1.0
2023-03-01,2023 Q1,5,Month 05,3,3.0,1.0
2023-04-01,2023 Q2,0,Month 00,3,3.0,1.0
2023-04-01,2023 Q2,1,Month 01,3,3.0,1.0
2023-04-01,2023 Q2,2,Month 02,3,3.0,1.0
2023-04-01,2023 Q2,3,Month 03,3,3.0,1.0
2023-04-01,2023 Q2,4,Month 04,3,3.0,1.0
2023-04-01,2023 Q2,5,Month 05,3,3.0,1.0
2023-05-01,2023 Q2,0,Month 00,3,3.0,1.0
2023-05-01,2023 Q2,1,Month 01,3,3.0,1.0
2023-05-01,2023 Q2,2,Month 02,3,3.0,1.0
2023-05-01,2023 Q2,3,Month 03,3,3.0,1.0
2023-05-01,2023 Q2,4,Month 04,3,3.0,1.0
2023-05-01,2023 Q2,5,Month 05,3,3.0,1.0
2023-06-01,2023 Q2,0,Month 00,4,4.0,1.0
2023-06-01,2023 Q2,1,Month 01,4,4.0,1.0
2023-06-01,2023 Q2,2,Month 02,4,4.0,1.0
2023-06-01,2023 Q2,3,Month 03,4,4.0,1.0
2023-06-01,2023 Q2,4,Month 04,4,4.0,1.0
2023-06-01,2023 Q2,5,Month 05,4,4.0,1.0
2023-07-01,2023 Q3,0,Month 00,4,4.0,1.0
2023-07-01,2023 Q3,1,Month 01,4,4.0,1.0
2023-07-01,2023 Q3,2,Month 02,4,4.0,1.0
2023-07-01,2023 Q3,3,Month 03,4,4.0,1.0
2023-07-01,2023 Q3,4,Month 04,4,4.0,1.0
2023-07-01,2023 Q3,5,Month 05,4,4.0,1.0
2023-08-01,2023 Q3,0,Month 00,4,4.0,1.0
2023-08-01,2023 Q3,1,Month 01,4,4.0,1.0
2023-08-01,2023 Q3,2,Month 02,4,4.0,1.0
2023-08-01,2023 Q3,3,Month 03,4,4.0,1.0
2023-08-01,2023 Q3,4,Month 04,4,4.0,1.0
2023-08-01,2023 Q3,5,Month 05,4,4.0,1.0
2023-09-01,2023 Q3,0,Month 00,4,4.0,1.0
2023-09-01,2023 Q3,1,Month 01,4,4.0,1.0
2023-09-01,2023 Q3,2,Month 02,4,4.0,1.0
2023-09-01,2023 Q3,3,Month 03,4,4.0,1.0
2023-09-01,2023 Q3,4,Month 04,4,4.0,1.0
2023-09-01,2023 Q3,5,Month 05,4,4.0,1.0
2023-10-01,2023 Q4,0,Month 00,3,3.0,1.0
2023-10-01,2023 Q4,1,Month 01,3,3.0,1.0
2023-10-01,2023 Q4,2,Month 02,3,3.0,1.0
2023-10-01,2023 Q4,3,Month 03,3,3.0,1.0
2023-10-01,2023 Q4,4,Month 04,3,3.0,1.0
2023-10-01,2023 Q4,5,Month 05,3,3.0,1.0
2023-11-01,2023 Q4,0,Month 00,4,3.0,0.75
2023-11-01,2023 Q4,1,Month 01,4,3.0,0.75
2023-11-01,2023 Q4,2,Month 02,4,3.0,0.75
2023-11-01,2023 Q4,3,Month 03,4,3.0,0.75
2023-11-01,2023 Q4,4,Month 04,4,3.0,0.75
2023-11-01,2023 Q4,5,Month 05,4,3.0,0.75
2023-12-01,2023 Q4,0,Month 00,5,5.0,1.0
2023-12-01,2023 Q4,1,Month 01,5,5.0,1.0
2023-12-01,2023 Q4,2,Month 02,5,5.0,1.0
2023-12-01,2023 Q4,3,Month 03,5,5.0,1.0
2023-12-01,2023 Q4,4,Month 04,5,5.0,1.0
2023-12-01,2023 Q4,5,Month 05,5,5.0,1.0
2024-01-01,2024 Q1,0,Month 00,5,5.0,1.0
2024-01-01,2024 Q1,1,Month 01,5,5.0,1.0
2024-01-01,2024 Q1,2,Month 02,5,5.0,1.0
2024-01-01,2024 Q1,3,Month 03,5,5.0,1.0
2024-01-01,2024 Q1,4,Month 04,5,5.0,1.0
2024-01-01,2024 Q1,5,Month 05,5,5.0,1.0
2024-02-01,2024 Q1,0,Month 00,4,3.0,0.75
2024-02-01,2024 Q1,1,Month 01,4,3.0,0.75
2024-02-01,2024 Q1,2,Month 02,4,3.0,0.75
2024-02-01,2024 Q1,3,Month 03,4,3.0,0.75
2024-02-01,2024 Q1,4,Month 04,4,3.0,0.75
2024-02-01,2024 Q1,5,Month 05,4,3.0,0.75
2024-03-01,2024 Q1,0,Month 00,5,5.0,1.0
2024-03-01,2024 Q1,1,Month 01,5,5.0,1.0
2024-03-01,2024 Q1,2,Month 02,5,5.0,1.0
2024-03-01,2024 Q1,3,Month 03,5,5.0,1.0
2024-03-01,2024 Q1,4,Month 04,5,5.0,1.0
2024-03-01,2024 Q1,5,Month 05,5,5.0,1.0
2024-04-01,2024 Q2,0,Month 00,5,5.0,1.0
2024-04-01,2024 Q2,1,Month 01,5,5.0,1.0
2024-04-01,2024 Q2,2,Month 02,5,5.0,1.0
2024-04-01,2024 Q2,3,Month 03,5,5.0,1.0
2024-04-01,2024 Q2,4,Month 04,5,5.0,1.0
2024-04-01,2024 Q2,5,Month 05,5,5.0,1.0
2024-05-01,2024 Q2,0,Month 00,5,5.0,1.0
2024-05-01,2024 Q2,1,Month 01,5,5.0,1.0
2024-05-01,2024 Q2,2,Month 02,5,5.0,1.0
2024-05-01,2024 Q2,3,Month 03,5,5.0,1.0
2024-05-01,2024 Q2,4,Month 04,5,5.0,1.0
2024-05-01,2024 Q2,5,Month 05,5,5.0,1.0
2024-06-01,2024 Q2,0,Month 00,4,4.0,1.0
2024-06-01,2024 Q2,1,Month 01,4,4.0,1.0
2024-06-01,2024 Q2,2,Month 02,4,4.0,1.0
2024-06-01,2024 Q2,3,Month 03,4,4.0,1.0
2024-06-01,2024 Q2,4,Month 04,4,4.0,1.0
2024-06-01,2024 Q2,5,Month 05,4,4.0,1.0
2024-07-01,2024 Q3,0,Month 00,3,3.0,1.0
2024-07-01,2024 Q3,1,Month 01,3,3.0,1.0
2024-07-01,2024 Q3,2,Month 02,3,3.0,1.0
2024-07-01,2024 Q3,3,Month 03,3,3.0,1.0
2024-07-01,2024 Q3,4,Month 04,3,3.0,1.0
2024-07-01,2024 Q3,5,Month 05,3,3.0,1.0
2024-08-01,2024 Q3,0,Month 00,3,3.0,1.0
2024-08-01,2024 Q3,1,Month 01,3,3.0,1.0
2024-08-01,2024 Q3,2,Month 02,3,3.0,1.0
2024-08-01,2024 Q3,3,Month 03,3,3.0,1.0
2024-08-01,2024 Q3,4,Month 04,3,3.0,1.0
2024-08-01,2024 Q3,5,Month 05,3,3.0,1.0
2024-09-01,2024 Q3,0,Month 00,3,3.0,1.0
2024-09-01,2024 Q3,1,Month 01,3,3.0,1.0
2024-09-01,2024 Q3,2,Month 02,3,3.0,1.0
2024-09-01,2024 Q3,3,Month 03,3,3.0,1.0
2024-09-01,2024 Q3,4,Month 04,3,3.0,1.0
2024-09-01,2024 Q3,5,Month 05,3,3.0,1.0
2024-10-01,2024 Q4,0,Month 00,2,2.0,1.0
2024-10-01,2024 Q4,1,Month 01,2,2.0,1.0
2024-10-01,2024 Q4,2,Month 02,2,2.0,1.0
2024-10-01,2024 Q4,3,Month 03,2,2.0,1.0
2024-10-01,2024 Q4,4,Month 04,2,2.0,1.0
2024-10-01,2024 Q4,5,Month 05,2,2.0,1.0
